parameter_name,sub_parameter_name,param_unit,ts,value,Current_Mean_Value,Current_Sigma_Value,Design_Value
Bed Height,Flue Gas Temperature Profile,MMWC,25-10-2025 11:49,919.685872,892.9733333,12.72796353,920
Bed Height,Flue Gas Temperature Profile,MMWC,25-10-2025 11:48,910.7802221,892.9733333,12.72796353,920
Bed Height,Flue Gas Temperature Profile,MMWC,25-10-2025 11:47,904.4162482,892.9733333,12.72796353,920
Bed Height,Flue Gas Temperature Profile,MMWC,25-10-2025 11:46,895.0385765,892.9733333,12.72796353,920
Bed Height,Flue Gas Temperature Profile,MMWC,25-10-2025 11:45,899.3899006,892.9733333,12.72796353,920
Bed Height,Flue Gas Temperature Profile,MMWC,25-10-2025 11:44,896.8980626,892.9733333,12.72796353,920
Bed Height,Flue Gas Temperature Profile,MMWC,25-10-2025 11:43,896.312892,892.9733333,12.72796353,920
Bed Height,Flue Gas Temperature Profile,MMWC,25-10-2025 11:42,894.9306365,892.9733333,12.72796353,920
Bed Height,Flue Gas Temperature Profile,MMWC,25-10-2025 11:41,898.6880228,892.9733333,12.72796353,920
Bed Height,Flue Gas Temperature Profile,MMWC,25-10-2025 11:40,885.337207,892.9733333,12.72796353,920
Bed Height,Flue Gas Temperature Profile,MMWC,25-10-2025 11:39,878.2426573,892.9733333,12.72796353,920
Bed Height,Flue Gas Temperature Profile,MMWC,25-10-2025 11:38,880.7446998,892.9733333,12.72796353,920
Bed Height,Flue Gas Temperature Profile,MMWC,25-10-2025 11:37,889.9334952,892.9733333,12.72796353,920
Bed Height,Flue Gas Temperature Profile,MMWC,25-10-2025 11:36,890.8000273,892.9733333,12.72796353,920
Bed Height,Flue Gas Temperature Profile,MMWC,25-10-2025 11:35,891.6411669,892.9733333,12.72796353,920
Bed Height,Flue Gas Temperature Profile,MMWC,25-10-2025 11:34,891.1797114,892.9733333,12.72796353,920
Bed Height,Flue Gas Temperature Profile,MMWC,25-10-2025 11:33,890.5144523,892.9733333,12.72796353,920
Bed Height,Flue Gas Temperature Profile,MMWC,25-10-2025 11:32,873.3729839,892.9733333,12.72796353,920
Bed Height,Flue Gas Temperature Profile,MMWC,25-10-2025 11:31,871.4045356,892.9733333,12.72796353,920
Bed Height,Flue Gas Temperature Profile,MMWC,25-10-2025 11:30,882.5712896,892.9733333,12.72796353,920
Bed Height,Flue Gas Temperature Profile,MMWC,25-10-2025 11:29,891.5651049,892.9733333,12.72796353,920
Bed Height,Flue Gas Temperature Profile,MMWC,25-10-2025 11:28,898.5325512,892.9733333,12.72796353,920
Bed Height,Flue Gas Temperature Profile,MMWC,25-10-2025 11:27,895.963499,892.9733333,12.72796353,920
Bed Height,Flue Gas Temperature Profile,MMWC,25-10-2025 11:26,888.0040895,892.9733333,12.72796353,920
Bed Height,Flue Gas Temperature Profile,MMWC,25-10-2025 11:25,874.3453272,892.9733333,12.72796353,920
Bed Height,Flue Gas Temperature Profile,MMWC,25-10-2025 11:24,859.994878,892.9733333,12.72796353,920
Bed Height,Flue Gas Temperature Profile,MMWC,25-10-2025 11:23,864.4537203,892.9733333,12.72796353,920
